,Product Name,Avg. Rating,# Ratings,Price,Processor Type,Disk Size,RAM,Processor Speed
0,"MSI Aegis RS 12TG-261 Gaming & Entertainment Desktop PC (Intel i7-12700KF 12-Core, 64GB DDR5 4800MHz RAM, 2x8TB PCIe SSD RAID 1 (8TB), Win 10 Pro) with MS 365 Personal, Hub",NO RATING,NO NUM RATING,"$8,679..00",Core i7,8 TB,64 GB,3.60 GHz
1,"MSI Aegis RS 12TG-261 Gaming & Entertainment Desktop PC (Intel i7-12700KF 12-Core, 64GB DDR5 4800MHz RAM, 2x8TB PCIe SSD RAID 0 (16TB), GeForce RTX 3060 Ti, WiFi, Bluetooth, Win 11 Pro) with Hub",NO RATING,NO NUM RATING,"$8,589..00",Core i7,16 TB,64 GB,3.60 GHz
2,"MSI Aegis RS 12TG-261 Gaming & Entertainment Desktop PC (Intel i7-12700KF 12-Core, 64GB DDR5 4800MHz RAM, 2x8TB PCIe SSD RAID 1 (8TB), GeForce RTX 3060 Ti, WiFi, Bluetooth, Win 11 Pro) with Hub",NO RATING,NO NUM RATING,"$8,589..00",Core i7,8 TB,64 GB,3.60 GHz
3,"MSI Aegis RS 12TG-261 Gaming & Entertainment Desktop PC (Intel i7-12700KF 12-Core, 64GB DDR5 4800MHz RAM, 2x8TB PCIe SSD RAID 0 (16TB), GeForce RTX 3060 Ti, WiFi, Bluetooth, Win 10 Pro) with Hub",NO RATING,NO NUM RATING,"$8,569..00",Core i7,16 TB,64 GB,3.60 GHz
4,"MSI Aegis RS 12TG-261 Gaming & Entertainment Desktop PC (Intel i7-12700KF 12-Core, 64GB DDR5 4800MHz RAM, 2x8TB PCIe SSD RAID 1 (8TB), GeForce RTX 3060 Ti, WiFi, Bluetooth, Win 10 Pro) with Hub",NO RATING,NO NUM RATING,"$8,569..00",Core i7,8 TB,64 GB,3.60 GHz
5,Adamant Custom 24-Core Video Editing Rendering Modelling Workstation Desktop Computer System AMD Threadripper 3960X 3.8Ghz Rog Strix 256Gb DDR4 5TB HDD 1TB NVMe SSD 1000W GeForce RTX 3090 24Gb,NO RATING,NO NUM RATING,"$8,499..99",AMD R Series,5 TB,256 GB,3.80 GHz
6,"Velztorm Galax CTO SFF Desktop PC Liquid-Cooled (AMD Ryzen 7-5800X 8-Core, RTX 3080 Ti 12GB, 128GB DDR4, 8TB PCIe SSD, WiFi-N, RGB Fans, 750W PSU, Black, Win 10 Pro)",NO RATING,NO NUM RATING,"$8,248..00",AMD Ryzen 7,8 TB,128 GB,3.80 GHz
7,"Velztorm Partix (Black Gladio) CTO Gaming Desktop PC (Liquid Cooled AMD Ryzen 7-5800X 8-Core, 128GB DDR4, 8TB PCIe SSD + 6TB HDD (3.5), GeForce RTX 3080 10GB, AC WiFi, 750W PSU, RGB Light, W10H)",NO RATING,NO NUM RATING,"$8,178..00",AMD Ryzen 7,8 TB,128 GB,3.80 GHz
8,"Velztorm Aciex 12th Gen CTO Gaming Desktop (Intel i9-12900K (Alder Lake) 16-Core, RTX 3080 10GB, 64GB DDR5 4800MHz RAM, 8TB PCIe SSD, 360 mm AIO, 1000W PSU, WiFi6, BT 5.2, Win11H)",NO RATING,NO NUM RATING,"$8,128..00",Core i9,8 TB,64 GB,3.20 GHz
9,"Velztorm Prizma 12th Gen CTO Gaming Desktop (Intel i9-12900K (Alder Lake) 16-Core, Radeon RX 6900 XT 16GB, 64GB DDR5 4800MHz RAM, 4TB PCIe SSD + 6TB HDD, 240 mm AIO, WiFi 6, BT 5.2, Win10H)",NO RATING,NO NUM RATING,"$8,028..00",Core i9,4 TB,64 GB,3.20 GHz
