,Product Name,Avg. Rating,# Ratings,Price,Processor Type,Disk Size,RAM,Processor Speed,Brand,Bluetooth,Liq. Cooled,RAM: Type,RAM : GB,Processor Speed: GHz,Disk Size: GB
0,"MSI Aegis RS 12TG-261 Gaming & Entertainment Desktop PC (Intel i7-12700KF 12-Core, 64GB DDR5 4800MHz RAM, 2x8TB PCIe SSD RAID 1 (8TB), Win 10 Pro) with MS 365 Personal, Hub",0.0,0,8679.0,Intel Core i7,8 TB,64 GB,3.60 GHz,MSI,0,0,GB,64.0,3.6,8000.0
1,"MSI Aegis RS 12TG-261 Gaming & Entertainment Desktop PC (Intel i7-12700KF 12-Core, 64GB DDR5 4800MHz RAM, 2x8TB PCIe SSD RAID 0 (16TB), GeForce RTX 3060 Ti, WiFi, Bluetooth, Win 11 Pro) with Hub",0.0,0,8589.0,Intel Core i7,16 TB,64 GB,3.60 GHz,MSI,1,0,GB,64.0,3.6,16000.0
2,"MSI Aegis RS 12TG-261 Gaming & Entertainment Desktop PC (Intel i7-12700KF 12-Core, 64GB DDR5 4800MHz RAM, 2x8TB PCIe SSD RAID 1 (8TB), GeForce RTX 3060 Ti, WiFi, Bluetooth, Win 11 Pro) with Hub",0.0,0,8589.0,Intel Core i7,8 TB,64 GB,3.60 GHz,MSI,1,0,GB,64.0,3.6,8000.0
3,"MSI Aegis RS 12TG-261 Gaming & Entertainment Desktop PC (Intel i7-12700KF 12-Core, 64GB DDR5 4800MHz RAM, 2x8TB PCIe SSD RAID 0 (16TB), GeForce RTX 3060 Ti, WiFi, Bluetooth, Win 10 Pro) with Hub",0.0,0,8569.0,Intel Core i7,16 TB,64 GB,3.60 GHz,MSI,1,0,GB,64.0,3.6,16000.0
4,"MSI Aegis RS 12TG-261 Gaming & Entertainment Desktop PC (Intel i7-12700KF 12-Core, 64GB DDR5 4800MHz RAM, 2x8TB PCIe SSD RAID 1 (8TB), GeForce RTX 3060 Ti, WiFi, Bluetooth, Win 10 Pro) with Hub",0.0,0,8569.0,Intel Core i7,8 TB,64 GB,3.60 GHz,MSI,1,0,GB,64.0,3.6,8000.0
5,Adamant Custom 24-Core Video Editing Rendering Modelling Workstation Desktop Computer System AMD Threadripper 3960X 3.8Ghz Rog Strix 256Gb DDR4 5TB HDD 1TB NVMe SSD 1000W GeForce RTX 3090 24Gb,0.0,0,8499.99,AMD R Series,5 TB,256 GB,3.80 GHz,Adamant,0,0,GB,256.0,3.8,5000.0
6,"Velztorm Galax CTO SFF Desktop PC Liquid-Cooled (AMD Ryzen 7-5800X 8-Core, RTX 3080 Ti 12GB, 128GB DDR4, 8TB PCIe SSD, WiFi-N, RGB Fans, 750W PSU, Black, Win 10 Pro)",0.0,0,8248.0,Ryzen 7,8 TB,128 GB,3.80 GHz,Velztorm,0,1,GB,128.0,3.8,8000.0
7,"Velztorm Partix (Black Gladio) CTO Gaming Desktop PC (Liquid Cooled AMD Ryzen 7-5800X 8-Core, 128GB DDR4, 8TB PCIe SSD + 6TB HDD (3.5), GeForce RTX 3080 10GB, AC WiFi, 750W PSU, RGB Light, W10H)",0.0,0,8178.0,Ryzen 7,8 TB,128 GB,3.80 GHz,Velztorm,0,1,GB,128.0,3.8,8000.0
8,"Velztorm Aciex 12th Gen CTO Gaming Desktop (Intel i9-12900K (Alder Lake) 16-Core, RTX 3080 10GB, 64GB DDR5 4800MHz RAM, 8TB PCIe SSD, 360 mm AIO, 1000W PSU, WiFi6, BT 5.2, Win11H)",0.0,0,8128.0,Intel Core i9,8 TB,64 GB,3.20 GHz,Velztorm,1,0,GB,64.0,3.2,8000.0
9,"Velztorm Prizma 12th Gen CTO Gaming Desktop (Intel i9-12900K (Alder Lake) 16-Core, Radeon RX 6900 XT 16GB, 64GB DDR5 4800MHz RAM, 4TB PCIe SSD + 6TB HDD, 240 mm AIO, WiFi 6, BT 5.2, Win10H)",0.0,0,8028.0,Intel Core i9,4 TB,64 GB,3.20 GHz,Velztorm,1,0,GB,64.0,3.2,4000.0
10,"Velztorm Custom Built Powerful Gaming Desktop PC (AMD Ryzen 9-5950X 16-Core, 128GB RAM, 2TB PCIe SSD + 6TB HDD (3.5), GeForce RTX 3090, WiFi, 2xUSB 3.2, 1xUSB 3.0, Win 10 Home)",0.0,0,7778.0,AMD R Series,2 TB,128 GB,3.40 GHz,Velztorm,0,0,GB,128.0,3.4,2000.0
11,"Velztorm Prizma 12th Gen CTO Gaming Desktop (Intel Alder Lake i9-12900K 16-Core, GeForce RTX 3090 24GB, 64GB DDR5 4800MHz RAM, 4TB PCIe SSD, 240mm AIO, WiFi 6, BT 5.2, Win 10 Pro)",0.0,0,7748.0,Intel Core i9,4 TB,64 GB,3.20 GHz,Velztorm,1,0,GB,64.0,3.2,4000.0
12,"Velztorm White Ferrux Gaming Custom Desktop (AMD Ryzen 9-5900X 12-Core, GeForce RTX 3070, 128GB RAM, 8TB PCIe SSD + 6TB HDD, USB 3.2, HDMI, Display Port, Win 10 Pro)",0.0,0,7698.0,AMD R Series,8 TB,128 GB,3.70 GHz,Velztorm,0,0,GB,128.0,3.7,8000.0
