iter	Passed	Remaining
0	10	41231
1	14	28410
2	18	24958
3	22	22462
4	25	20703
5	29	19660
6	32	18621
7	35	17876
8	39	17321
9	42	16972
10	45	16646
11	49	16351
12	52	16075
13	56	16114
14	60	16081
15	63	15904
16	67	15724
17	70	15554
18	73	15362
19	76	15184
20	79	15110
21	83	15013
22	86	14876
23	89	14750
24	92	14636
25	95	14549
26	98	14444
27	101	14408
28	104	14327
29	108	14311
30	111	14303
31	114	14245
32	118	14220
33	121	14155
34	124	14113
35	128	14134
36	131	14109
37	134	14041
38	137	13933
39	140	13907
40	143	13886
41	146	13847
42	150	13824
43	153	13801
44	156	13760
45	159	13722
46	162	13707
47	166	13683
48	169	13653
49	172	13607
50	175	13573
51	178	13538
52	181	13523
53	185	13524
54	188	13494
55	191	13471
56	194	13428
57	197	13428
58	200	13386
59	203	13359
60	206	13340
61	209	13325
62	213	13340
63	216	13308
64	219	13304
65	223	13305
66	226	13298
67	229	13289
68	233	13276
69	236	13273
70	239	13272
71	243	13260
72	246	13240
73	250	13269
74	253	13264
75	256	13236
76	259	13216
77	262	13196
78	265	13177
79	268	13168
80	272	13166
81	275	13162
82	278	13166
83	282	13165
84	285	13137
85	288	13116
86	291	13096
87	295	13122
88	298	13109
89	301	13106
90	304	13092
91	308	13088
92	311	13093
93	315	13092
94	318	13093
95	321	13077
96	324	13056
97	327	13058
98	331	13060
99	334	13045
100	338	13048
101	340	13024
102	344	13021
103	347	13014
104	350	13013
105	354	13005
106	357	12997
107	359	12972
108	363	12973
109	366	12964
110	369	12954
111	373	12950
112	376	12952
113	379	12946
114	382	12934
115	386	12925
116	389	12922
117	392	12919
118	396	12919
119	399	12914
120	402	12915
121	406	12919
122	409	12917
123	413	12926
124	416	12915
125	419	12901
126	423	12913
127	426	12902
128	429	12899
129	432	12885
130	435	12876
131	439	12874
132	442	12876
133	446	12877
134	449	12870
135	452	12864
136	455	12856
137	459	12859
138	462	12840
139	465	12834
140	468	12822
141	472	12842
142	475	12837
143	479	12831
144	482	12825
145	486	12834
146	489	12822
147	492	12815
148	495	12810
149	498	12807
150	502	12804
151	505	12795
152	508	12786
153	512	12789
154	515	12783
155	518	12775
156	521	12768
157	524	12763
158	528	12767
159	532	12774
160	535	12765
161	538	12764
162	542	12766
163	545	12758
164	548	12747
165	551	12742
166	554	12738
167	558	12733
168	561	12729
169	564	12721
170	567	12716
171	571	12713
172	574	12706
173	577	12708
174	581	12703
175	584	12697
176	587	12679
177	589	12666
178	593	12675
179	597	12670
180	600	12663
181	603	12654
182	606	12644
183	609	12634
184	612	12636
185	616	12631
186	619	12629
187	622	12619
188	626	12627
189	629	12619
190	632	12622
191	635	12612
192	638	12596
193	641	12593
194	645	12594
195	648	12594
196	653	12624
197	657	12626
198	660	12615
199	663	12607
200	666	12600
201	670	12599
202	673	12588
203	676	12581
204	679	12572
205	682	12570
206	685	12560
207	688	12550
208	691	12547
209	695	12545
210	698	12544
211	701	12540
212	705	12540
213	708	12535
214	712	12538
215	715	12534
216	718	12531
217	722	12526
218	725	12524
219	728	12521
220	731	12506
221	734	12506
222	738	12501
223	742	12516
224	745	12510
225	749	12508
226	751	12495
227	754	12484
228	757	12481
229	761	12480
230	764	12468
231	766	12446
232	769	12438
233	773	12443
234	776	12439
235	779	12427
236	782	12428
237	785	12423
238	788	12409
239	791	12406
240	794	12398
241	798	12399
242	801	12393
243	804	12386
244	808	12388
245	811	12384
246	814	12383
247	817	12375
248	820	12363
249	823	12357
250	827	12355
251	830	12359
252	834	12354
253	837	12351
254	840	12341
255	843	12334
256	847	12337
257	850	12334
258	853	12330
259	857	12327
260	860	12320
261	863	12317
262	866	12313
263	869	12306
264	872	12301
265	876	12297
266	879	12291
267	882	12293
268	885	12288
269	889	12282
270	892	12278
271	895	12269
272	898	12264
273	900	12252
274	904	12251
275	907	12248
276	910	12243
277	913	12233
278	916	12222
279	919	12214
280	922	12209
281	926	12209
282	928	12196
283	931	12192
284	936	12201
285	938	12192
286	941	12182
287	944	12170
288	947	12161
289	950	12159
290	954	12159
291	957	12157
292	960	12153
293	963	12148
294	966	12135
295	969	12136
296	973	12132
297	976	12128
298	979	12124
299	982	12117
300	985	12116
301	989	12113
302	992	12114
303	996	12113
304	998	12102
305	1002	12098
306	1005	12091
307	1008	12094
308	1012	12091
309	1015	12091
310	1018	12084
311	1022	12086
312	1025	12079
313	1028	12069
314	1030	12059
315	1033	12051
316	1036	12044
317	1040	12043
318	1043	12037
319	1045	12026
320	1048	12018
321	1051	12013
322	1054	12009
323	1058	12004
324	1061	12001
325	1064	11992
326	1067	11987
327	1070	11985
328	1074	11984
329	1077	11982
330	1080	11977
331	1084	11984
332	1087	11978
333	1090	11973
334	1094	11969
335	1097	11966
336	1100	11965
337	1104	11961
338	1107	11957
339	1110	11949
340	1112	11942
341	1116	11940
342	1119	11933
343	1122	11930
344	1125	11923
345	1128	11913
346	1131	11915
347	1134	11907
348	1137	11901
349	1140	11893
350	1143	11885
351	1146	11883
352	1149	11878
353	1152	11869
354	1155	11862
355	1158	11856
356	1161	11848
357	1164	11842
358	1167	11836
359	1169	11829
360	1172	11823
361	1175	11818
362	1179	11813
363	1182	11807
364	1185	11801
365	1187	11795
366	1191	11793
367	1194	11791
368	1198	11792
369	1201	11783
370	1203	11774
371	1206	11770
372	1209	11762
373	1212	11753
374	1215	11752
375	1218	11747
376	1221	11743
377	1225	11741
378	1228	11738
379	1231	11729
380	1234	11722
381	1237	11718
382	1240	11712
383	1243	11711
384	1246	11702
385	1249	11696
386	1252	11688
387	1255	11685
388	1258	11680
389	1261	11677
390	1264	11674
391	1268	11673
392	1270	11665
393	1273	11658
394	1277	11654
395	1279	11647
396	1283	11645
397	1286	11640
398	1289	11636
399	1292	11630
400	1295	11626
401	1298	11620
402	1301	11613
403	1304	11613
404	1307	11609
405	1311	11605
406	1314	11600
407	1317	11600
408	1321	11600
409	1324	11597
410	1327	11589
411	1330	11584
412	1333	11578
413	1337	11581
414	1340	11576
415	1343	11575
416	1346	11570
417	1349	11563
418	1352	11555
419	1354	11545
420	1357	11537
421	1360	11534
422	1363	11531
423	1366	11528
424	1369	11519
425	1371	11507
426	1374	11502
427	1377	11496
428	1380	11492
429	1383	11486
430	1386	11482
431	1389	11478
432	1392	11474
433	1395	11467
434	1398	11461
435	1401	11454
436	1404	11449
437	1407	11445
438	1410	11439
439	1413	11433
440	1416	11433
441	1419	11426
442	1422	11423
443	1426	11422
444	1428	11413
445	1431	11409
446	1434	11400
447	1437	11395
448	1440	11394
449	1443	11390
450	1447	11388
451	1450	11383
452	1453	11377
453	1455	11369
454	1458	11364
455	1461	11360
456	1464	11353
457	1467	11350
458	1470	11345
459	1473	11343
460	1477	11340
461	1480	11335
462	1482	11328
463	1486	11324
464	1488	11316
465	1491	11308
466	1494	11305
467	1497	11300
468	1500	11297
469	1503	11295
470	1506	11289
471	1510	11287
472	1512	11280
473	1516	11278
474	1518	11269
475	1521	11263
476	1524	11257
477	1527	11254
478	1530	11249
479	1532	11240
480	1535	11234
481	1538	11229
482	1541	11221
483	1543	11214
484	1546	11208
485	1549	11201
486	1552	11198
487	1554	11189
488	1557	11179
489	1560	11176
490	1563	11170
491	1565	11163
492	1568	11155
493	1570	11148
494	1573	11143
495	1576	11134
496	1579	11129
497	1581	11123
498	1584	11119
499	1587	11112
500	1590	11105
501	1594	11109
502	1597	11105
503	1600	11100
504	1603	11096
505	1606	11090
506	1608	11080
507	1611	11075
508	1613	11067
509	1616	11061
510	1619	11056
511	1622	11050
512	1625	11045
513	1628	11042
514	1630	11032
515	1632	11023
516	1634	11014
517	1638	11010
518	1641	11010
519	1644	11007
520	1648	11007
521	1652	11007
522	1655	11003
523	1658	11000
524	1661	10995
525	1664	10990
526	1666	10985
527	1670	10985
528	1673	10979
529	1675	10971
530	1679	10970
531	1682	10968
532	1685	10963
533	1688	10957
534	1690	10951
535	1693	10947
536	1697	10945
537	1700	10941
538	1703	10938
539	1705	10930
540	1708	10925
541	1711	10917
542	1714	10913
543	1717	10909
544	1720	10906
545	1722	10899
546	1726	10897
547	1729	10891
548	1732	10887
549	1735	10884
550	1738	10879
551	1740	10873
552	1743	10868
553	1746	10861
554	1748	10852
555	1751	10846
556	1753	10840
557	1756	10833
558	1758	10827
559	1761	10823
560	1764	10818
561	1767	10815
562	1770	10811
563	1773	10806
564	1776	10802
565	1779	10797
566	1782	10791
567	1785	10788
568	1787	10779
569	1789	10770
570	1792	10762
571	1794	10754
572	1797	10753
573	1800	10744
574	1803	10740
575	1805	10733
576	1808	10728
577	1811	10725
578	1814	10718
579	1816	10712
580	1818	10704
581	1821	10699
582	1824	10693
583	1828	10693
584	1830	10687
585	1833	10682
586	1836	10678
587	1839	10673
588	1842	10672
589	1845	10668
590	1848	10664
591	1851	10660
592	1854	10653
593	1856	10645
594	1859	10642
595	1862	10639
596	1865	10633
597	1868	10630
598	1871	10626
599	1874	10624
600	1877	10617
601	1880	10613
602	1882	10606
603	1885	10599
604	1887	10591
605	1889	10584
606	1892	10579
607	1895	10575
608	1898	10572
609	1901	10567
610	1904	10562
611	1906	10553
612	1908	10547
613	1911	10542
614	1914	10537
615	1917	10532
616	1920	10528
617	1922	10523
618	1925	10515
619	1928	10513
620	1930	10506
621	1933	10498
622	1936	10496
623	1939	10492
624	1941	10485
625	1944	10478
626	1946	10470
627	1948	10462
628	1951	10456
629	1953	10448
630	1955	10443
631	1958	10439
632	1961	10434
633	1964	10429
634	1967	10426
635	1970	10420
636	1972	10413
637	1974	10404
638	1977	10399
639	1979	10392
640	1982	10389
641	1985	10383
642	1987	10378
643	1990	10373
644	1994	10372
645	1997	10369
646	1999	10364
647	2002	10357
648	2005	10352
649	2007	10346
650	2010	10341
651	2013	10336
652	2016	10334
653	2019	10331
654	2022	10327
655	2024	10321
656	2027	10316
657	2030	10315
658	2033	10308
659	2036	10305
660	2039	10302
661	2041	10292
662	2044	10288
663	2046	10282
664	2048	10275
665	2052	10273
666	2054	10268
667	2057	10262
668	2060	10257
669	2062	10251
670	2065	10245
671	2067	10240
672	2070	10236
673	2073	10231
674	2075	10225
675	2079	10224
676	2082	10220
677	2085	10218
678	2087	10212
679	2091	10210
680	2093	10204
681	2096	10201
682	2099	10194
683	2101	10189
684	2104	10184
685	2107	10180
686	2110	10175
687	2112	10169
688	2114	10161
689	2116	10154
690	2118	10146
691	2121	10143
692	2124	10136
693	2126	10130
694	2129	10127
695	2132	10121
696	2134	10113
697	2136	10107
698	2139	10103
699	2141	10097
700	2144	10093
701	2147	10086
702	2149	10081
703	2152	10075
704	2154	10070
705	2156	10061
706	2159	10056
707	2161	10049
708	2163	10042
709	2166	10038
710	2169	10037
711	2172	10033
712	2175	10031
713	2178	10025
714	2180	10019
715	2185	10021
716	2187	10015
717	2190	10014
718	2193	10009
719	2195	10001
720	2198	9996
721	2200	9990
722	2202	9983
723	2205	9979
724	2207	9972
725	2210	9966
726	2212	9961
727	2215	9958
728	2217	9951
729	2220	9945
730	2223	9943
731	2226	9940
732	2229	9936
733	2231	9931
734	2234	9927
735	2237	9922
736	2239	9916
737	2241	9909
738	2244	9903
739	2246	9897
740	2249	9893
741	2252	9890
742	2255	9885
743	2257	9881
744	2260	9878
745	2264	9875
746	2266	9870
747	2268	9864
748	2271	9858
749	2274	9856
750	2277	9851
751	2279	9845
752	2282	9840
753	2284	9836
754	2287	9833
755	2290	9828
756	2293	9827
757	2296	9823
758	2300	9821
759	2303	9818
760	2306	9818
761	2310	9819
762	2313	9816
763	2316	9811
764	2319	9808
765	2321	9801
766	2324	9797
767	2326	9791
768	2329	9788
769	2332	9782
770	2334	9775
771	2337	9773
772	2339	9766
773	2342	9763
774	2345	9759
775	2348	9756
776	2351	9754
777	2354	9750
778	2357	9748
779	2360	9745
780	2362	9738
781	2366	9737
782	2369	9733
783	2371	9727
784	2374	9726
785	2377	9721
786	2380	9718
787	2383	9716
788	2386	9710
789	2388	9705
790	2391	9700
791	2393	9696
792	2396	9691
793	2398	9686
794	2401	9683
795	2404	9677
796	2407	9675
797	2410	9671
798	2412	9666
799	2415	9661
800	2418	9657
801	2420	9650
802	2423	9647
803	2425	9642
804	2427	9635
805	2430	9631
806	2433	9629
807	2436	9625
808	2438	9619
809	2442	9618
810	2445	9616
811	2447	9610
812	2450	9606
813	2453	9601
814	2455	9595
815	2458	9592
816	2461	9590
817	2464	9586
818	2466	9581
819	2469	9576
820	2471	9571
821	2474	9566
822	2476	9560
823	2478	9554
824	2481	9550
825	2484	9548
826	2487	9542
827	2490	9541
828	2493	9538
829	2496	9533
830	2498	9527
831	2501	9523
832	2503	9519
833	2506	9515
834	2509	9512
835	2512	9507
836	2514	9503
837	2517	9499
838	2519	9492
839	2522	9489
840	2525	9484
841	2527	9480
842	2530	9475
843	2532	9469
844	2534	9463
845	2536	9457
846	2539	9452
847	2542	9449
848	2545	9446
849	2547	9442
850	2551	9440
851	2553	9436
852	2556	9433
853	2559	9430
854	2562	9426
855	2565	9422
856	2568	9419
857	2571	9418
858	2574	9414
859	2576	9408
860	2579	9404
861	2582	9401
862	2584	9395
863	2587	9391
864	2590	9388
865	2592	9383
866	2595	9380
867	2598	9376
868	2601	9373
869	2603	9367
870	2606	9363
871	2609	9360
872	2612	9357
873	2615	9355
874	2619	9353
875	2621	9350
876	2624	9346
877	2627	9343
878	2630	9340
879	2633	9336
880	2636	9335
881	2640	9336
882	2644	9334
883	2648	9336
884	2652	9334
885	2654	9329
886	2657	9327
887	2660	9322
888	2662	9318
889	2666	9316
890	2668	9310
891	2670	9306
892	2673	9302
893	2675	9297
894	2679	9294
895	2681	9290
896	2684	9286
897	2686	9280
898	2690	9278
899	2692	9274
900	2694	9268
901	2697	9263
902	2699	9258
903	2702	9254
904	2704	9250
905	2707	9245
906	2710	9241
907	2713	9238
908	2714	9232
909	2717	9229
910	2721	9227
911	2723	9222
912	2726	9217
913	2728	9213
914	2731	9210
915	2734	9206
916	2737	9205
917	2740	9201
918	2743	9197
919	2746	9195
920	2749	9190
921	2751	9186
922	2754	9182
923	2757	9178
924	2759	9174
925	2762	9169
926	2764	9165
927	2767	9161
928	2770	9159
929	2773	9156
930	2776	9153
931	2779	9150
932	2782	9147
933	2785	9142
934	2787	9138
935	2790	9134
936	2792	9129
937	2794	9123
938	2797	9118
939	2800	9115
940	2802	9111
941	2805	9108
942	2808	9103
943	2810	9099
944	2813	9095
945	2816	9092
946	2818	9087
947	2821	9084
948	2824	9081
949	2826	9075
950	2829	9071
951	2832	9067
952	2834	9062
953	2836	9056
954	2839	9053
955	2842	9049
956	2844	9045
957	2847	9040
958	2849	9036
959	2852	9034
960	2855	9030
961	2858	9027
962	2860	9022
963	2863	9018
964	2867	9017
965	2870	9014
966	2872	9009
967	2874	9003
968	2876	8998
969	2879	8994
970	2882	8990
971	2885	8988
972	2886	8981
973	2890	8978
974	2892	8974
975	2894	8969
976	2897	8965
977	2899	8960
978	2902	8955
979	2904	8950
980	2906	8944
981	2909	8941
982	2911	8937
983	2914	8933
984	2917	8930
985	2920	8927
986	2923	8924
987	2926	8920
988	2928	8915
989	2930	8909
990	2932	8904
991	2935	8900
992	2937	8894
993	2939	8890
994	2943	8888
995	2945	8883
996	2948	8879
997	2951	8877
998	2954	8874
999	2957	8872
1000	2960	8868
1001	2963	8865
1002	2965	8861
1003	2967	8855
1004	2970	8853
1005	2973	8849
1006	2976	8845
1007	2978	8841
1008	2981	8836
1009	2983	8833
1010	2985	8827
1011	2988	8822
1012	2991	8819
1013	2994	8817
1014	2996	8813
1015	2998	8806
1016	3002	8805
1017	3004	8800
1018	3006	8796
1019	3009	8793
1020	3012	8789
1021	3015	8785
1022	3017	8781
1023	3019	8775
1024	3022	8773
1025	3025	8769
1026	3028	8765
1027	3030	8762
1028	3033	8758
1029	3035	8752
1030	3037	8748
1031	3040	8744
1032	3043	8742
1033	3047	8741
1034	3050	8737
1035	3053	8735
1036	3056	8733
1037	3059	8730
1038	3061	8724
1039	3063	8718
1040	3065	8714
1041	3068	8710
1042	3070	8705
1043	3073	8701
1044	3075	8697
1045	3078	8693
1046	3080	8689
1047	3083	8684
1048	3086	8681
1049	3088	8676
1050	3090	8672
1051	3093	8669
1052	3096	8665
1053	3098	8660
1054	3101	8657
1055	3104	8655
1056	3107	8653
1057	3110	8648
1058	3111	8642
1059	3114	8639
1060	3118	8636
1061	3119	8630
1062	3122	8627
1063	3124	8622
1064	3128	8620
1065	3130	8616
1066	3133	8613
1067	3135	8609
1068	3138	8605
1069	3141	8602
1070	3144	8598
1071	3148	8598
1072	3151	8596
1073	3154	8592
1074	3157	8592
1075	3160	8587
1076	3163	8585
1077	3165	8581
1078	3167	8575
1079	3170	8572
1080	3173	8568
1081	3175	8563
1082	3177	8559
1083	3180	8555
1084	3183	8551
1085	3185	8548
1086	3187	8543
1087	3190	8539
1088	3193	8536
1089	3195	8532
1090	3198	8528
1091	3201	8525
1092	3204	8521
1093	3205	8515
1094	3208	8511
1095	3210	8506
1096	3213	8505
1097	3216	8501
1098	3219	8497
1099	3222	8494
1100	3225	8492
1101	3228	8489
1102	3230	8486
1103	3234	8483
1104	3237	8481
1105	3240	8479
1106	3243	8477
1107	3247	8475
1108	3250	8473
1109	3253	8470
1110	3256	8468
1111	3260	8466
1112	3262	8463
1113	3266	8462
1114	3269	8459
1115	3272	8456
1116	3274	8452
1117	3277	8449
1118	3280	8446
1119	3283	8442
1120	3285	8438
1121	3287	8433
1122	3290	8430
1123	3293	8427
1124	3296	8423
1125	3298	8419
1126	3300	8414
1127	3303	8411
1128	3305	8406
1129	3308	8403
1130	3310	8398
1131	3313	8395
1132	3315	8390
1133	3319	8389
1134	3322	8385
1135	3324	8380
1136	3326	8377
1137	3329	8373
1138	3332	8370
1139	3335	8366
1140	3337	8362
1141	3340	8360
1142	3343	8358
1143	3346	8355
1144	3349	8351
1145	3352	8348
1146	3355	8345
1147	3357	8342
1148	3361	8339
1149	3364	8337
1150	3366	8333
1151	3369	8330
1152	3371	8325
1153	3374	8321
1154	3377	8318
1155	3381	8318
1156	3385	8318
1157	3388	8316
1158	3391	8312
1159	3395	8312
1160	3398	8310
1161	3401	8308
1162	3403	8303
1163	3406	8299
1164	3408	8295
1165	3411	8291
1166	3413	8287
1167	3416	8283
1168	3419	8281
1169	3422	8278
1170	3425	8275
1171	3428	8271
1172	3431	8269
1173	3434	8266
1174	3437	8265
1175	3442	8265
1176	3445	8264
1177	3448	8261
1178	3450	8256
1179	3453	8253
1180	3456	8251
1181	3460	8249
1182	3462	8246
1183	3465	8242
1184	3468	8239
1185	3470	8234
1186	3473	8232
1187	3476	8228
1188	3479	8227
1189	3483	8225
1190	3486	8223
1191	3489	8220
1192	3492	8216
1193	3494	8212
1194	3498	8211
1195	3500	8207
